Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0145840821
2	4	0	0.0291681642
3	5	0	0.0437522463
4	6	0	0.0583363284
5	6	0	0.0729204105
6	7	0	0.0875044927
7	8	0	0.102088575
8	9	0	0.116672657
9	9	0	0.131256739
10	10	0	0.145840821
11	11	0	0.160424903
12	12	0	0.175008985
13	12	0	0.189593067
14	13	0	0.20417715
15	14	0	0.218761232
16	15	0	0.233345314
17	15	0	0.247929396
18	16	0	0.262513478
19	17	0	0.27709756
20	17	0	0.291681642
21	18	0	0.306265724
22	19	0	0.320849806
23	20	0	0.335433889
24	20	0	0.350017971
25	21	0	0.364602053
26	22	0	0.379186135
27	23	0	0.393770217
28	24	0	0.408354299
29	25	0	0.422938381
30	25	0	0.437522463
31	26	0	0.452106545
32	27	0	0.466690628
33	28	0	0.48127471
34	29	0	0.495858792
35	29	0	0.510442874
36	30	0	0.525026956
37	31	0	0.539611038
38	32	0	0.55419512
39	33	0	0.568779202
40	34	0	0.583363284
41	34	0	0.597947366
42	35	0	0.612531449
43	36	0	0.627115531
44	37	0	0.641699613
45	37	0	0.656283695
46	38	0	0.670867777
47	39	0	0.685451859
48	40	0	0.700035941
49	40	0	0.714620023
50	41	0	0.729204105
51	42	0	0.743788188
52	42	0	0.75837227
53	43	0	0.772956352
54	44	0	0.787540434
55	45	0	0.802124516
56	45	0	0.816708598
57	46	0	0.83129268
58	47	0	0.845876762
59	47	0	0.860460844
60	48	0	0.875044927
61	49	0	0.889629009
62	49	0	0.904213091
63	50	0	0.918797173
64	51	0	0.933381255
65	51	0	0.947965337
66	52	0	0.962549419
67	53	0	0.977133501
68	53	0	0.991717583
69	54	0	1.00630167
70	55	0	1.02088575
